sentence,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
"With her big lips, double chin, and blurry features, she wore a necklace that further accentuated her unique beauty.",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"This male with a 5 o'clock shadow has high cheekbones and a double chin, all of which are slightly blurry.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This person is an attractive individual with stylish sideburns and a chubby figure that adds to their charm.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"This person had a striking appearance with their blond hair, rosy cheeks, high cheekbones, and big nose, all perfectly complemented by their distinguished goatee.",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"This person had a double chin, blurry features, and straight hair that was overshadowed by a light 5 o'clock shadow.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"With his high cheekbones and dashing mustache, he was a sight to behold, even with the addition of wearing a subtle shade of lipstick.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"This person had an attractive oval face with high cheekbones, wavy black hair cascading down her neck, enhancing her beauty.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"This person has a clean-shaven face adorned with well-defined sideburns and high, sculpted cheekbones.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"This person had alluring big lips, archly arched eyebrows, a slightly open mouth, an attractive face, and a distinguished 5 o'clock shadow.",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person has an oval-shaped face with brown hair, complemented by a vibrant shade of lipstick that perfectly accentuates her features.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"This person had a receding hairline, but was still stylishly dressed with a hat perched atop their head, and had striking features like big lips and arched eyebrows that were set off by their blond hair.",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"This person has chubby cheeks adorned with a hint of lipstick, while their brown hair is topped off with a distinguished 5 o'clock shadow.",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"This chubby person with eyeglasses is wearing earrings, adding a touch of sparkle and glamour to their unique look.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"This person had a head that was bald and shining, their pale skin standing out in contrast to their bushy eyebrows and big nose.",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person had a distinguished goatee, rosy cheeks, pallid skin, and was wearing a pair of eyeglasses, making them look all the more sophisticated.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"This person is sporting a hat, their brown hair neatly styled in straight tresses.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"This person has a receding hairline, yet their high cheekbones and smiling expression are still visible, revealing a bald pate that is surrounded by a halo of wavy hair.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"With bangs framing her face, narrow eyes accentuated by eyeglasses, and a distinct look all her own, this person stands out in a crowd.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"With an oval face, dark circles under her eyes, and a pair of eyeglasses, the person had a distinguished look, complemented by her salt-and-pepper gray hair.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person with their blond hair and straight locks had a double chin and was wearing a bright shade of lipstick, completing the look with a stylish goatee.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"He was a male with a double-chin, topped off with bangs that framed his face.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"With her high cheekbones and distinctive gray hair, she was a stunning sight in her necktie, captivating all who laid eyes upon her.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"This handsome man has an alluring gaze, thanks to his bushy eyebrows that frame his captivating face.",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person has straight locks, with wavy strands cascading down, and is adorned with delicate earrings.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"This male individual with a balding head, and streaks of gray hair was wearing a necklace, exuding a unique charm.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"She had a striking appearance, with her black hair cascading around her neck and a golden necklace gleaming from her neck, while her blonde locks framed her face.",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"With bushy eyebrows, a double chin, and an unbearded face, this person exuded an air of innocence and youthfulness.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person is chubby, with thick, wavy black hair and a receding hairline.",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"This person had chubby cheeks, rosy complexion and high cheekbones that gave her a pleasingly distinctive look.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"This person has a distinct look with their pale skin, double chin, bushy mustache, and a necklace resting upon their neck.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"He stood out from the crowd with his big nose, rosy cheeks, and the glint of a necklace around his neck, exuding a masculine aura.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"This person had an enchanting look, with narrow eyes, a black mane of hair cascading down their forehead and bangs framing their face, high cheekbones, and a big nose.",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This chubby individual was spotted wearing a necklace, their features slightly blurred.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"This person had a receding hairline, a pointy nose, and blurry, brown hair - an intriguing combination that made them stand out from the crowd.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"This person has a bald head and an oval-shaped face, with no trace of a beard and a double chin that gives them a distinct profile.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person had jet-black hair, arched eyebrows, and a receding hairline; dark circles under their eyes were the only hint of their struggle.",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"This attractive individual had a subtle five o'clock shadow, narrow eyes accentuated by a hint of lipstick, and bags under their eyes that only added to their allure.",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"This person had an alluring look, with eyeglasses perched on the bridge of their nose, gray locks swept up into a fringe of bangs, and a captivating gaze.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person had a bold and bald head, yet was adorned with heavy makeup and a deep shade of lipstick, adding to the fullness of their big lips.",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"This person had a pointy nose, narrow eyes, and bags under their eyes, topped off with a hat perched atop their straight hair.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
